id,bool_col,tinyint_col,smallint_col,int_col,bigint_col,float_col,double_col,date_string_col,string_col,timestamp_col,year,month
6690,1,0,0,0,0,0.0,0.0,11/01/10,0,2010-11-01 00:00:00.000,2010,11
6691,0,1,1,1,10,1.10000002384,10.1,11/01/10,1,2010-11-01 00:01:00.000,2010,11
6692,1,2,2,2,20,2.20000004768,20.2,11/01/10,2,2010-11-01 00:02:00.100,2010,11
6693,0,3,3,3,30,3.29999995232,30.3,11/01/10,3,2010-11-01 00:03:00.300,2010,11
6694,1,4,4,4,40,4.40000009537,40.4,11/01/10,4,2010-11-01 00:04:00.600,2010,11
6695,0,5,5,5,50,5.5,50.5,11/01/10,5,2010-11-01 00:05:00.100,2010,11
6696,1,6,6,6,60,6.59999990463,60.6,11/01/10,6,2010-11-01 00:06:00.150,2010,11
6697,0,7,7,7,70,7.69999980927,70.7,11/01/10,7,2010-11-01 00:07:00.210,2010,11
6698,1,8,8,8,80,8.80000019073,80.8,11/01/10,8,2010-11-01 00:08:00.280,2010,11
6699,0,9,9,9,90,9.89999961853,90.9,11/01/10,9,2010-11-01 00:09:00.360,2010,11
6700,1,0,0,0,0,0.0,0.0,11/02/10,0,2010-11-02 00:10:00.450,2010,11
6701,0,1,1,1,10,1.10000002384,10.1,11/02/10,1,2010-11-02 00:11:00.450,2010,11
6702,1,2,2,2,20,2.20000004768,20.2,11/02/10,2,2010-11-02 00:12:00.460,2010,11
6703,0,3,3,3,30,3.29999995232,30.3,11/02/10,3,2010-11-02 00:13:00.480,2010,11
6704,1,4,4,4,40,4.40000009537,40.4,11/02/10,4,2010-11-02 00:14:00.510,2010,11
6705,0,5,5,5,50,5.5,50.5,11/02/10,5,2010-11-02 00:15:00.550,2010,11
6706,1,6,6,6,60,6.59999990463,60.6,11/02/10,6,2010-11-02 00:16:00.600,2010,11
6707,0,7,7,7,70,7.69999980927,70.7,11/02/10,7,2010-11-02 00:17:00.660,2010,11
6708,1,8,8,8,80,8.80000019073,80.8,11/02/10,8,2010-11-02 00:18:00.730,2010,11
6709,0,9,9,9,90,9.89999961853,90.9,11/02/10,9,2010-11-02 00:19:00.810,2010,11
6710,1,0,0,0,0,0.0,0.0,11/03/10,0,2010-11-03 00:20:00.900,2010,11
6711,0,1,1,1,10,1.10000002384,10.1,11/03/10,1,2010-11-03 00:21:00.900,2010,11
6712,1,2,2,2,20,2.20000004768,20.2,11/03/10,2,2010-11-03 00:22:00.910,2010,11
6713,0,3,3,3,30,3.29999995232,30.3,11/03/10,3,2010-11-03 00:23:00.930,2010,11
6714,1,4,4,4,40,4.40000009537,40.4,11/03/10,4,2010-11-03 00:24:00.960,2010,11
6715,0,5,5,5,50,5.5,50.5,11/03/10,5,2010-11-03 00:25:01.000,2010,11
6716,1,6,6,6,60,6.59999990463,60.6,11/03/10,6,2010-11-03 00:26:01.500,2010,11
6717,0,7,7,7,70,7.69999980927,70.7,11/03/10,7,2010-11-03 00:27:01.110,2010,11
6718,1,8,8,8,80,8.80000019073,80.8,11/03/10,8,2010-11-03 00:28:01.180,2010,11
6719,0,9,9,9,90,9.89999961853,90.9,11/03/10,9,2010-11-03 00:29:01.260,2010,11
6720,1,0,0,0,0,0.0,0.0,11/04/10,0,2010-11-04 00:30:01.350,2010,11
6721,0,1,1,1,10,1.10000002384,10.1,11/04/10,1,2010-11-04 00:31:01.350,2010,11
6722,1,2,2,2,20,2.20000004768,20.2,11/04/10,2,2010-11-04 00:32:01.360,2010,11
6723,0,3,3,3,30,3.29999995232,30.3,11/04/10,3,2010-11-04 00:33:01.380,2010,11
6724,1,4,4,4,40,4.40000009537,40.4,11/04/10,4,2010-11-04 00:34:01.410,2010,11
6725,0,5,5,5,50,5.5,50.5,11/04/10,5,2010-11-04 00:35:01.450,2010,11
6726,1,6,6,6,60,6.59999990463,60.6,11/04/10,6,2010-11-04 00:36:01.500,2010,11
6727,0,7,7,7,70,7.69999980927,70.7,11/04/10,7,2010-11-04 00:37:01.560,2010,11
6728,1,8,8,8,80,8.80000019073,80.8,11/04/10,8,2010-11-04 00:38:01.630,2010,11
6729,0,9,9,9,90,9.89999961853,90.9,11/04/10,9,2010-11-04 00:39:01.710,2010,11
6730,1,0,0,0,0,0.0,0.0,11/05/10,0,2010-11-05 00:40:01.800,2010,11
6731,0,1,1,1,10,1.10000002384,10.1,11/05/10,1,2010-11-05 00:41:01.800,2010,11
6732,1,2,2,2,20,2.20000004768,20.2,11/05/10,2,2010-11-05 00:42:01.810,2010,11
6733,0,3,3,3,30,3.29999995232,30.3,11/05/10,3,2010-11-05 00:43:01.830,2010,11
6734,1,4,4,4,40,4.40000009537,40.4,11/05/10,4,2010-11-05 00:44:01.860,2010,11
6735,0,5,5,5,50,5.5,50.5,11/05/10,5,2010-11-05 00:45:01.900,2010,11
6736,1,6,6,6,60,6.59999990463,60.6,11/05/10,6,2010-11-05 00:46:01.950,2010,11
6737,0,7,7,7,70,7.69999980927,70.7,11/05/10,7,2010-11-05 00:47:02.100,2010,11
6738,1,8,8,8,80,8.80000019073,80.8,11/05/10,8,2010-11-05 00:48:02.800,2010,11
6739,0,9,9,9,90,9.89999961853,90.9,11/05/10,9,2010-11-05 00:49:02.160,2010,11
6740,1,0,0,0,0,0.0,0.0,11/06/10,0,2010-11-06 00:50:02.250,2010,11
6741,0,1,1,1,10,1.10000002384,10.1,11/06/10,1,2010-11-06 00:51:02.250,2010,11
6742,1,2,2,2,20,2.20000004768,20.2,11/06/10,2,2010-11-06 00:52:02.260,2010,11
6743,0,3,3,3,30,3.29999995232,30.3,11/06/10,3,2010-11-06 00:53:02.280,2010,11
6744,1,4,4,4,40,4.40000009537,40.4,11/06/10,4,2010-11-06 00:54:02.310,2010,11
6745,0,5,5,5,50,5.5,50.5,11/06/10,5,2010-11-06 00:55:02.350,2010,11
6746,1,6,6,6,60,6.59999990463,60.6,11/06/10,6,2010-11-06 00:56:02.400,2010,11
6747,0,7,7,7,70,7.69999980927,70.7,11/06/10,7,2010-11-06 00:57:02.460,2010,11
6748,1,8,8,8,80,8.80000019073,80.8,11/06/10,8,2010-11-06 00:58:02.530,2010,11
6749,0,9,9,9,90,9.89999961853,90.9,11/06/10,9,2010-11-06 00:59:02.610,2010,11
6750,1,0,0,0,0,0.0,0.0,11/07/10,0,2010-11-07 01:00:02.700,2010,11
6751,0,1,1,1,10,1.10000002384,10.1,11/07/10,1,2010-11-07 01:01:02.700,2010,11
6752,1,2,2,2,20,2.20000004768,20.2,11/07/10,2,2010-11-07 01:02:02.710,2010,11
6753,0,3,3,3,30,3.29999995232,30.3,11/07/10,3,2010-11-07 01:03:02.730,2010,11
6754,1,4,4,4,40,4.40000009537,40.4,11/07/10,4,2010-11-07 01:04:02.760,2010,11
6755,0,5,5,5,50,5.5,50.5,11/07/10,5,2010-11-07 01:05:02.800,2010,11
6756,1,6,6,6,60,6.59999990463,60.6,11/07/10,6,2010-11-07 01:06:02.850,2010,11
6757,0,7,7,7,70,7.69999980927,70.7,11/07/10,7,2010-11-07 01:07:02.910,2010,11
6758,1,8,8,8,80,8.80000019073,80.8,11/07/10,8,2010-11-07 01:08:02.980,2010,11
6759,0,9,9,9,90,9.89999961853,90.9,11/07/10,9,2010-11-07 01:09:03.600,2010,11
6760,1,0,0,0,0,0.0,0.0,11/08/10,0,2010-11-08 01:10:03.150,2010,11
6761,0,1,1,1,10,1.10000002384,10.1,11/08/10,1,2010-11-08 01:11:03.150,2010,11
6762,1,2,2,2,20,2.20000004768,20.2,11/08/10,2,2010-11-08 01:12:03.160,2010,11
6763,0,3,3,3,30,3.29999995232,30.3,11/08/10,3,2010-11-08 01:13:03.180,2010,11
6764,1,4,4,4,40,4.40000009537,40.4,11/08/10,4,2010-11-08 01:14:03.210,2010,11
6765,0,5,5,5,50,5.5,50.5,11/08/10,5,2010-11-08 01:15:03.250,2010,11
6766,1,6,6,6,60,6.59999990463,60.6,11/08/10,6,2010-11-08 01:16:03.300,2010,11
6767,0,7,7,7,70,7.69999980927,70.7,11/08/10,7,2010-11-08 01:17:03.360,2010,11
6768,1,8,8,8,80,8.80000019073,80.8,11/08/10,8,2010-11-08 01:18:03.430,2010,11
6769,0,9,9,9,90,9.89999961853,90.9,11/08/10,9,2010-11-08 01:19:03.510,2010,11
6770,1,0,0,0,0,0.0,0.0,11/09/10,0,2010-11-09 01:20:03.600,2010,11
6771,0,1,1,1,10,1.10000002384,10.1,11/09/10,1,2010-11-09 01:21:03.600,2010,11
6772,1,2,2,2,20,2.20000004768,20.2,11/09/10,2,2010-11-09 01:22:03.610,2010,11
